algorithm,signal_type,distance_m,sample_id,error_m,est_x_m,est_y_m,freq_band_Hz
CBF,projector,3,bubble 05 1000Hz .wav,1.142947,-0.500000,1.972222,1000-12000
MVDR,projector,3,bubble 05 1000Hz .wav,2.542994,-2.527778,2.722222,1000-12000
MUSIC,projector,3,bubble 05 1000Hz .wav,2.555707,-2.027778,4.555556,1000-12000
MUSIC_CSDM,projector,3,bubble 05 1000Hz .wav,2.046150,1.361111,4.527778,1000-12000
CBF,projector,3,bubble 06 1000Hz .wav,1.033393,-0.611111,2.166667,1000-12000
MVDR,projector,3,bubble 06 1000Hz .wav,2.339278,-2.333333,2.833333,1000-12000
MUSIC,projector,3,bubble 06 1000Hz .wav,0.202225,0.055556,2.805556,1000-12000
MUSIC_CSDM,projector,3,bubble 06 1000Hz .wav,2.888889,-2.888889,3.000000,1000-12000
CBF,projector,3,bubble 07 1000Hz .wav,1.106239,-0.527778,2.027778,1000-12000
MVDR,projector,3,bubble 07 1000Hz .wav,2.219617,-2.194444,2.666667,1000-12000
MUSIC,projector,3,bubble 07 1000Hz .wav,2.426862,-1.333333,0.972222,1000-12000
MUSIC_CSDM,projector,3,bubble 07 1000Hz .wav,0.825893,-0.777778,3.277778,1000-12000
CBF,projector,3,bubble 08 1000Hz .wav,1.063203,-0.583333,2.111111,1000-12000
MVDR,projector,3,bubble 08 1000Hz .wav,1.970461,-1.833333,2.277778,1000-12000
MUSIC,projector,3,bubble 08 1000Hz .wav,2.073123,-0.638889,1.027778,1000-12000
MUSIC_CSDM,projector,3,bubble 08 1000Hz .wav,2.694874,-2.611111,2.333333,1000-12000
CBF,projector,3,bubble 09 1000Hz .wav,1.055921,-0.611111,2.138889,1000-12000
MVDR,projector,3,bubble 09 1000Hz .wav,2.361111,-2.361111,3.000000,1000-12000
MUSIC,projector,3,bubble 09 1000Hz .wav,1.766675,-1.694444,3.500000,1000-12000
MUSIC_CSDM,projector,3,bubble 09 1000Hz .wav,2.699165,-2.472222,1.916667,1000-12000
CBF,projector,3,bubble 10 1000Hz .wav,1.028153,-0.638889,2.194444,1000-12000
MVDR,projector,3,bubble 10 1000Hz .wav,2.311572,-2.305556,2.833333,1000-12000
MUSIC,projector,3,bubble 10 1000Hz .wav,2.539351,-0.861111,0.611111,1000-12000
MUSIC_CSDM,projector,3,bubble 10 1000Hz .wav,2.236930,-1.055556,1.027778,1000-12000
CBF,projector,3,bubble 11 1000Hz .wav,1.093259,-0.500000,2.027778,1000-12000
MVDR,projector,3,bubble 11 1000Hz .wav,1.862976,-1.750000,2.361111,1000-12000
MUSIC,projector,3,bubble 11 1000Hz .wav,2.861246,-0.027778,0.138889,1000-12000
MUSIC_CSDM,projector,3,bubble 11 1000Hz .wav,2.952818,1.944444,0.777778,1000-12000
CBF,projector,3,bubble 12 1000Hz .wav,1.024394,-0.666667,2.222222,1000-12000
MVDR,projector,3,bubble 12 1000Hz .wav,2.064732,-1.944444,2.305556,1000-12000
MUSIC,projector,3,bubble 12 1000Hz .wav,1.795270,-0.250000,1.222222,1000-12000
MUSIC_CSDM,projector,3,bubble 12 1000Hz .wav,1.943651,-1.666667,2.000000,1000-12000
CBF,projector,3,bubble 13 1000Hz .wav,1.095727,-0.555556,2.055556,1000-12000
MVDR,projector,3,bubble 13 1000Hz .wav,1.801277,-1.722222,2.472222,1000-12000
MUSIC,projector,3,bubble 13 1000Hz .wav,3.031343,-2.694444,4.388889,1000-12000
MUSIC_CSDM,projector,3,bubble 13 1000Hz .wav,1.849257,-1.000000,4.555556,1000-12000
CBF,projector,3,bubble 14 1000Hz .wav,1.040091,-0.583333,2.138889,1000-12000
MVDR,projector,3,bubble 14 1000Hz .wav,1.774737,-1.694444,2.472222,1000-12000
MUSIC,projector,3,bubble 14 1000Hz .wav,1.540102,-1.194444,3.972222,1000-12000
MUSIC_CSDM,projector,3,bubble 14 1000Hz .wav,0.820268,0.388889,2.277778,1000-12000
CBF,projector,3,bubble 15 1000Hz .wav,1.081908,-0.527778,2.055556,1000-12000
MVDR,projector,3,bubble 15 1000Hz .wav,1.705565,-1.638889,2.527778,1000-12000
MUSIC,projector,3,bubble 15 1000Hz .wav,0.701079,-0.583333,2.611111,1000-12000
MUSIC_CSDM,projector,3,bubble 15 1000Hz .wav,0.385901,0.194444,3.333333,1000-12000
CBF,projector,3,bubble 16 1000Hz .wav,1.196703,-0.444444,1.888889,1000-12000
MVDR,projector,3,bubble 16 1000Hz .wav,2.156851,-2.138889,2.722222,1000-12000
MUSIC,projector,3,bubble 16 1000Hz .wav,0.943218,-0.222222,3.916667,1000-12000
MUSIC_CSDM,projector,3,bubble 16 1000Hz .wav,0.931281,-0.277778,3.888889,1000-12000
CBF,projector,3,bubble 17 1000Hz .wav,1.022132,-0.694444,2.250000,1000-12000
MVDR,projector,3,bubble 17 1000Hz .wav,1.686914,-1.611111,2.500000,1000-12000
MUSIC,projector,3,bubble 17 1000Hz .wav,3.229040,1.194444,0.000000,1000-12000
MUSIC_CSDM,projector,3,bubble 17 1000Hz .wav,1.083689,-0.027778,1.916667,1000-12000
CBF,projector,3,bubble 18 1000Hz .wav,1.067187,-0.666667,2.166667,1000-12000
MVDR,projector,3,bubble 18 1000Hz .wav,2.283867,-2.277778,2.833333,1000-12000
MUSIC,projector,3,bubble 18 1000Hz .wav,2.251543,0.083333,5.250000,1000-12000
MUSIC_CSDM,projector,3,bubble 18 1000Hz .wav,1.029278,-1.027778,3.055556,1000-12000
CBF,projector,3,bubble 19 1000Hz .wav,1.028153,-0.638889,2.194444,1000-12000
MVDR,projector,3,bubble 19 1000Hz .wav,1.920086,-1.861111,2.527778,1000-12000
MUSIC,projector,3,bubble 19 1000Hz .wav,1.445512,-0.055556,1.555556,1000-12000
MUSIC_CSDM,projector,3,bubble 19 1000Hz .wav,0.716860,0.416667,2.416667,1000-12000
CBF,projector,1,bubble 01 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 01 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 01 11000Hz .wav,1.861940,-0.055556,2.861111,1000-12000
MUSIC_CSDM,projector,1,bubble 01 11000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
CBF,projector,1,bubble 02 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 02 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 02 11000Hz .wav,1.422103,1.388889,1.305556,1000-12000
MUSIC_CSDM,projector,1,bubble 02 11000Hz .wav,0.062113,-0.027778,0.944444,1000-12000
CBF,projector,1,bubble 03 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 03 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 03 11000Hz .wav,1.422103,-0.305556,2.388889,1000-12000
MUSIC_CSDM,projector,1,bubble 03 11000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
CBF,projector,1,bubble 04 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 04 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 04 11000Hz .wav,0.555556,0.000000,1.555556,1000-12000
MUSIC_CSDM,projector,1,bubble 04 11000Hz .wav,4.446614,-0.138889,5.444444,1000-12000
CBF,projector,1,bubble 05 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 05 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 05 11000Hz .wav,1.889706,-0.055556,2.888889,1000-12000
MUSIC_CSDM,projector,1,bubble 05 11000Hz .wav,4.668733,-0.138889,5.666667,1000-12000
CBF,projector,1,bubble 06 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 06 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 06 11000Hz .wav,0.611111,0.000000,1.611111,1000-12000
MUSIC_CSDM,projector,1,bubble 06 11000Hz .wav,4.696499,-0.138889,5.694444,1000-12000
CBF,projector,1,bubble 07 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 07 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 07 11000Hz .wav,0.716860,0.416667,0.416667,1000-12000
MUSIC_CSDM,projector,1,bubble 07 11000Hz .wav,0.062113,-0.027778,0.944444,1000-12000
CBF,projector,1,bubble 08 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 08 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 08 11000Hz .wav,0.283279,0.277778,1.055556,1000-12000
MUSIC_CSDM,projector,1,bubble 08 11000Hz .wav,4.334758,-0.111111,5.333333,1000-12000
CBF,projector,1,bubble 09 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 09 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 09 11000Hz .wav,0.039284,-0.027778,0.972222,1000-12000
MUSIC_CSDM,projector,1,bubble 09 11000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
CBF,projector,1,bubble 10 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 10 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 10 11000Hz .wav,1.478498,-1.333333,1.638889,1000-12000
MUSIC_CSDM,projector,1,bubble 10 11000Hz .wav,4.613202,-0.138889,5.611111,1000-12000
CBF,projector,1,bubble 11 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
